POP,MONTH,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
OAK,Apr,16.7054,17.0145,15.0398,15.3484,18.5227,16.2846,14.2557,14.6409,17.5095,15.2594,15.7123,15.8572,16.5432,17.7263,16.8881,17.9588,16.8006,19.478,16.6978,17.0307,16.5342
OAK,May,19.335,18.7054,19.5339,19.1449,20.3305,21.1995,19.4471,19.1387,19.0373,19.1885,20.1783,20.6425,21.7103,19.5318,20.5308,18.732,19.3242,20.1347,19.2619,19.2044,20.2044
OAK,Jun,23.7319,22.2859,21.7153,21.7247,21.9523,22.2372,22.6235,23.1553,22.2637,21.6909,21.9457,23.1634,23.6602,22.1428,21.6679,22.7157,21.5391,22.0534,22.9795,22.4288,22.2636
OAK,Jul,24.2408,23.0973,22.1896,23.0132,23.0898,22.8592,23.0552,24.7026,23.6689,23.8247,22.8714,23.241,24.606,23.6884,23.2468,23.0312,23.0681,23.2586,24.086,23.308,23.0098
OAK,Aug,24.2965,23.2132,22.2918,22.742,23.1239,22.9706,23.4853,24.6493,23.7396,24.3384,23.7667,24.1828,24.4464,24.6372,23.5359,23.5047,23.6632,23.1322,24.0221,23.8714,23.5542
OAK,Sep,23.8954,22.3154,23.4609,22.1952,23.6942,22.5545,24.3728,23.4454,22.5047,23.2179,23.6434,23.2756,23.0196,23.1852,22.6174,22.3493,22.6084,22.8837,23.0167,23.1007,23.8851
OAK,Oct,21.3558,20.0932,18.6577,19.7989,20.7428,20.1143,20.0572,20.2984,18.5605,22.4563,19.4708,20.74,17.3617,18.4151,19.8702,18.9956,18.139,20.1426,20.7345,20.2179,20.7436
OAK,Nov,17.4955,16.0502,13.0312,17.4205,13.1068,17.2312,16.5598,16.4051,12.9444,14.9481,12.7937,16.7015,14.2377,16.9966,12.9793,17.5658,12.8691,19.2837,15.0105,16.0623,15.1612
OAK,Dec,14.5451,11.3746,10.013,15.7977,9.84008,9.9499,11.2054,10.736,15.69,15.128,13.4805,13.4301,5.05876,15.003,12.5497,14.3874,12.8363,18.0389,15.0773,11.9577,12.0418
PBS,Jan,15.1481,14.8562,12.7147,8.9278,13.3874,8.54147,11.8214,13.9409,13.6436,16.4086,14.1353,11.277,9.5282,11.9693,12.4863,16.9145,12.6472,15.0723,13.1124,14.557,13.3172
PBS,Feb,13.8028,12.9845,13.9032,17.2769,14.3515,15.2738,14.2382,13.249,11.7385,13.5841,16.4796,12.638,9.81437,15.2849,16.8933,14.911,16.7133,13.1869,13.4138,15.172,19.7829
PBS,Mar,15.386,13.9784,17.4406,16.0739,18.2384,19.396,17.0312,14.8673,15.62,17.6334,17.2633,16.3356,11.9499,16.6072,18.3961,12.0389,16.1223,19.3428,19.0211,16.1427,13.541
PBS,Apr,18.6505,18.3,17.322,18.8115,20.1503,17.9282,17.1735,15.8394,18.8584,17.4693,18.1797,18.2283,18.7271,21.1469,18.187,20.3517,19.2619,21.2871,19.1917,19.7718,18.2376
PBS,May,20.4772,19.3403,21.4596,20.3563,22.2485,22.129,21.9116,20.602,19.6276,20.7138,21.1432,21.4402,22.5282,21.9619,21.2842,19.9887,21.7866,22.2195,20.7454,21.3713,21.2954
PBS,Jun,24.001,22.6934,23.1497,22.5499,22.7801,23.3782,23.9387,22.8635,23.4417,22.396,23.2372,22.88,24.8308,23.9739,23.4206,23.1353,22.3403,23.7288,24.1123,23.9588,22.5352
PBS,Jul,24.1361,23.9551,23.199,23.2155,23.8006,24.1693,23.2319,25.0265,23.9237,23.7671,23.0317,23.3829,25.0985,25.0865,23.7084,24.2216,23.8254,23.7879,25.5834,24.734,23.3065
PBS,Aug,24.4229,23.6912,23.5462,23.9882,23.5534,23.7394,23.5919,24.7458,23.9851,24.4354,24.0633,24.6847,24.6617,24.2521,23.9823,25.3199,24.4011,23.5973,24.943,25.0115,24.3894
PBS,Sep,24.0735,23.0649,23.4097,22.4329,24.2063,23.4441,23.8912,23.4378,23.1427,23.2794,24.081,23.5286,24.6769,23.4877,23.3439,22.7524,23.3691,23.2564,23.956,24.3129,24.0194
PBS,Oct,22.6851,21.6591,20.0724,21.6147,21.9035,21.4452,20.9209,21.3955,20.2392,23.3649,20.8115,21.6989,20.529,20.6265,21.2599,21.4351,20.6994,21.8129,22.8456,21.7698,22.3898
PBS,Nov,18.583,18.1956,15.5171,18.1456,15.2548,19.063,18.0779,18.6856,16.0993,17.4238,14.3139,17.5846,17.0425,18.8391,15.459,19.9644,16.1822,21.4984,17.7801,19.739,17.9077
PBS,Dec,17.1976,14.7952,14.228,17.1101,13.8393,12.5428,13.1263,13.2026,18.8291,17.0771,15.1803,16.2145,7.4626,17.8268,15.8715,18.782,15.5179,20.7639,18.8394,14.4693,15.4505
